Card #,Name,Faction,Type,Rarity,Status,Automated from,Still manual
099,Blood and Iron,AshenLegion,Event,Rare,manual,,"Target Unit you control gets +3 Power until end of turn, or Retire a Unit you control to give another target Unit you control +4 Power until end of turn."
100,Warcamp Muster,AshenLegion,Event,Rare,manual,,"If you control 3 or more Units, put a +1 Power counter on each Unit you control. Otherwise, put a +1 Power counter on target Unit you control."
101,Scorched Retreat,AshenLegion,Event,Rare,manual,,"Retire a Location you control; if you do, put a +1 Power counter on each Unit you control."
102,Ashen Warcry,AshenLegion,Event,Rare,auto,text,
103,War Camp of the Ashen Line,AshenLegion,Location,Rare,auto,Warcry,
104,The Bonepile Forge,AshenLegion,Location,Rare,auto,Onslaught,
105,Siegeworks of the Ashen Line,AshenLegion,Location,Rare,auto,text,
106,The Skullbanner Muster,AshenLegion,Location,Rare,auto,text,
107,Kharund Raider Recruit,AshenLegion,Unit,Uncommon,auto,Warcry,
108,Kharund Bruteling,AshenLegion,Unit,Uncommon,auto,text,
109,Kharund Warhorn,AshenLegion,Unit,Uncommon,auto,text,
110,Kharund Skullsplitter,AshenLegion,Unit,Uncommon,auto,Onslaught,
111,Ashborn Brute,AshenLegion,Unit,Uncommon,manual,,This Unit cannot use abilities the turn it enters play.
112,Kharund Ashguard,AshenLegion,Unit,Uncommon,auto,Warcry,
113,Kharund Warcaller Recruit,AshenLegion,Unit,Uncommon,auto,text,
114,Kharund Trophy-Hauler,AshenLegion,Unit,Uncommon,auto,Onslaught,
115,Kharund Vanguard Recruit,AshenLegion,Unit,Uncommon,manual,,This Unit enters play with +1 Power if you control a Location.
116,Kharund Ironhide Brute,AshenLegion,Unit,Uncommon,manual,,This Unit's Power cannot be reduced by more than 1 from a single source.
117,Grannoch the Quartermaster,AshenLegion,Unit,Uncommon,manual,,This Unit cannot gain Power from Warcry.
118,Kharund Bloodhorn,AshenLegion,Unit,Uncommon,auto,Onslaught,
119,Kharund Ashbrand Raider,AshenLegion,Unit,Uncommon,auto,Warcry,
120,Kharund Wallbreaker,AshenLegion,Unit,Uncommon,auto,text,
121,Kharund Skirmish Recruit,AshenLegion,Unit,Uncommon,manual,,"When this Unit enters play, you may return target Unit you control with 2 or less Power to your hand."
122,Kharund Bloodmark Brute,AshenLegion,Unit,Uncommon,auto,Warcry,
123,Raiding Party,AshenLegion,Event,Uncommon,auto,text,
124,Forge-Fire,AshenLegion,Event,Uncommon,manual,,"Put a +1 Power counter on target Unit you control. If it has 3 or less Power, put two instead."
125,Bonebreaker's Toll,AshenLegion,Event,Uncommon,auto,text,
126,War Chant,AshenLegion,Event,Uncommon,auto,text,
127,Ashfall Skirmish,AshenLegion,Event,Uncommon,manual,,"Retire a Unit you control with 2 or less Power; if you do, put two +1 Power counters on target Unit you control."
128,Muster the Line,AshenLegion,Event,Uncommon,auto,text,
129,Trial by Iron,AshenLegion,Event,Uncommon,manual,,"Look at the top card of your deck. If it is a Unit, put a +1 Power counter on each Unit you control."
130,Ashen Vow,AshenLegion,Event,Uncommon,auto,text,
131,Kharund Raider,AshenLegion,Unit,Common,none,,
132,Kharund Brute,AshenLegion,Unit,Common,none,,
133,Kharund Charger,AshenLegion,Unit,Common,none,,
134,Warhound Handler,AshenLegion,Unit,Common,auto,text,
135,Ashclad Brute,AshenLegion,Unit,Common,none,,
136,Bloodyoung Kharund,AshenLegion,Unit,Common,auto,text,
137,Kharund Scrapper,AshenLegion,Unit,Common,none,,
138,Bonecarrier,AshenLegion,Unit,Common,auto,text,
139,Kharund Hornblower,AshenLegion,Unit,Common,none,,
140,Ashmarked Recruit,AshenLegion,Unit,Common,none,,
141,Kharund Cinderfist,AshenLegion,Unit,Common,auto,text,
142,Trailtrampler,AshenLegion,Unit,Common,none,,
143,Bloodyoung Raider,AshenLegion,Unit,Common,none,,
144,Warcamp Guard,AshenLegion,Unit,Common,auto,text,
145,Ashenhorn,AshenLegion,Unit,Common,none,,
146,Ironback Brute,AshenLegion,Unit,Common,manual,,"This Unit must be played into an open Unit slot, if able, even if it is not your choice."
147,Trophy Recruit,AshenLegion,Unit,Common,none,,
148,Warband Scout,AshenLegion,Unit,Common,auto,text,
149,Forge-Tender,AshenLegion,Unit,Common,none,,
150,Ashenclub,AshenLegion,Unit,Common,none,,
151,Bloodmark Recruit,AshenLegion,Unit,Common,auto,Onslaught,
152,Warcry Novice,AshenLegion,Unit,Common,auto,Warcry,
153,Siege Recruit,AshenLegion,Unit,Common,none,,
154,Ashguard Recruit,AshenLegion,Unit,Common,none,,
155,Raider's Instinct,AshenLegion,Event,Common,auto,text,
156,Forge Spark,AshenLegion,Event,Common,auto,text,
157,Quick Muster,AshenLegion,Event,Common,auto,text,
158,Ashfall Jeer,AshenLegion,Event,Common,auto,text,
159,Bonebreaker's Warmup,AshenLegion,Event,Common,auto,text,
160,First Blood,AshenLegion,Event,Common,manual,,The first Unit you play this turn gets +1 Power.
161,The Drowned Duchess,UndertowCourt,Unit,Mythic,manual,,"Flow | When the Drowned Duchess enters play, look at your Retirement Pile; you may return 1 Unit and 1 Location to your deck, shuffled together on top in any order."
162,Harbormaster Vashti,UndertowCourt,Unit,Exquisite,manual,,"Flow | When this Unit enters play, you may shuffle a Location from your Retirement Pile into your deck."
163,The Reckoning Tide,UndertowCourt,Event,Exquisite,manual,,Shuffle up to 2 Units and 1 Location from your Retirement Pile into your deck.
164,The Whirlpool,UndertowCourt,Location,Exquisite,manual,,"Ebb 3 — Put a card from your hand on the bottom of your deck: put 3 Power counters on this Location. (Activate only once each turn.) Whenever a Unit an opponent controls is Retired, you may have this Location get +1 Power."
165,Duchess-Marshal Corvane,UndertowCourt,Unit,Legendary,manual,,"Flow | When this Unit is put on the bottom of your deck by Flow, you may draw a card."
166,Krakenkin Depthwalker,UndertowCourt,Unit,Legendary,manual,,Flow
167,Naga Netcaster,UndertowCourt,Unit,Legendary,manual,,"When this Unit enters play, you may look at the top 3 cards of your deck; put one in your hand and the rest on the bottom in any order. This Unit cannot Flow the turn it enters play."
168,Storm Surge,UndertowCourt,Event,Legendary,manual,,"During the next Conflict, each of your Locations gets +2 Power. Or, shuffle a Unit from your Retirement Pile into your deck."
169,Salvage the Wreck,UndertowCourt,Event,Legendary,manual,,Shuffle up to 2 cards from your Retirement Pile into your deck.
170,The Coral Bastion,UndertowCourt,Location,Legendary,manual,,Ebb 2 | This Location cannot be Retired by your opponents' abilities.
171,Tideguard Officer,UndertowCourt,Unit,Rare,manual,,Flow
172,Naga Wavecaller,UndertowCourt,Unit,Rare,auto,text,
173,Krakenkin Anchorhand,UndertowCourt,Unit,Rare,auto,text,
174,Human Salvage Diver,UndertowCourt,Unit,Rare,manual,,"When this Unit enters play, you may return target Unit from your Retirement Pile to your hand."
175,Naga Tidebound Sentinel,UndertowCourt,Unit,Rare,auto,text,
176,Krakenkin Netcaster,UndertowCourt,Unit,Rare,manual,,Flow
177,Human Harbor Warden,UndertowCourt,Unit,Rare,manual,,"At the start of your turn, if you control a Location, draw a card."
178,Naga Wreckdiver,UndertowCourt,Unit,Rare,manual,,Flow
179,Riptide,UndertowCourt,Event,Rare,manual,,"Return target Unit you control to your hand, or shuffle target Unit from your Retirement Pile into your deck."
180,Wreckage Reclaimed,UndertowCourt,Event,Rare,auto,text,
181,Tidebreak,UndertowCourt,Event,Rare,manual,,Put a +1 Power counter on target Location you control for each Location you control (max 3).
182,The Undertow Calls,UndertowCourt,Event,Rare,auto,text,
183,The Drowned Pier,UndertowCourt,Location,Rare,manual,,Ebb 2
184,Coral Watch,UndertowCourt,Location,Rare,manual,,"At the start of your turn, this Location gets +1 Power if you control no cards in hand."
185,The Salvage Docks,UndertowCourt,Location,Rare,auto,text,
186,Harborkeep of the Drowned Court,UndertowCourt,Location,Rare,manual,,Ebb 1 — Put a card from your hand on the bottom of your deck: put 1 Power counter on this Location. (Activate only once each turn.)
187,Tideguard Recruit,UndertowCourt,Unit,Uncommon,manual,,Flow — Put this Unit on the bottom of your deck: put 1 Power counter on a Location or Unit you control. (Activate only once each turn.)
188,Naga Netcaster Novice,UndertowCourt,Unit,Uncommon,auto,text,
189,Krakenkin Deckhand,UndertowCourt,Unit,Uncommon,auto,text,
190,Human Wreck Diver,UndertowCourt,Unit,Uncommon,manual,,Flow — Put this Unit on the bottom of your deck: put 1 Power counter on a Location or Unit you control. (Activate only once each turn.)
191,Naga Tideguard,UndertowCourt,Unit,Uncommon,auto,text,
192,Krakenkin Harborhand,UndertowCourt,Unit,Uncommon,auto,text,
193,Human Salvager,UndertowCourt,Unit,Uncommon,manual,,"When this Unit enters play, you may look at the top card of your Retirement Pile."
194,Naga Wavecaller Recruit,UndertowCourt,Unit,Uncommon,manual,,Flow — Put this Unit on the bottom of your deck: put 1 Power counter on a Location or Unit you control. (Activate only once each turn.)
195,Krakenkin Netcaster Recruit,UndertowCourt,Unit,Uncommon,manual,,"When this Unit enters play, you may return target Unit you control with 2 or less Power to your hand."
196,Human Depth Scout,UndertowCourt,Unit,Uncommon,auto,text,
197,Naga Anchorhand,UndertowCourt,Unit,Uncommon,manual,,Flow — Put this Unit on the bottom of your deck: put 1 Power counter on a Location or Unit you control. (Activate only once each turn.)
198,Krakenkin Tidebound,UndertowCourt,Unit,Uncommon,auto,text,
199,Human Harbor Recruit,UndertowCourt,Unit,Uncommon,auto,Harbor Recruit,
200,Naga Wreckwalker,UndertowCourt,Unit,Uncommon,manual,,Flow — Put this Unit on the bottom of your deck: put 1 Power counter on a Location or Unit you control. (Activate only once each turn.)
201,Krakenkin Diver,UndertowCourt,Unit,Uncommon,manual,,"When this Unit enters play, you may look at the top 2 cards of your deck; put one on the bottom."
202,Human Coastward Sentinel,UndertowCourt,Unit,Uncommon,manual,,Flow — Put this Unit on the bottom of your deck: put 1 Power counter on a Location or Unit you control. (Activate only once each turn.)
203,Ebbing Tide,UndertowCourt,Event,Uncommon,auto,text,
204,Wreck Diving,UndertowCourt,Event,Uncommon,auto,text,
205,Salvage Run,UndertowCourt,Event,Uncommon,auto,text,
206,Riptide Pull,UndertowCourt,Event,Uncommon,auto,text,
207,Tidewatch,UndertowCourt,Event,Uncommon,auto,text,
208,Storm Warning,UndertowCourt,Event,Uncommon,auto,text,
209,Undertow's Grasp,UndertowCourt,Event,Uncommon,manual,,"Retire a Unit you control with 2 or less Power; if you do, target Location you control gets +2 Power."
210,Calm Before,UndertowCourt,Event,Uncommon,manual,,Prevent the next 1 Power loss target Location you control would take this turn.
211,Human Deckhand,UndertowCourt,Unit,Common,none,,
212,Naga Coastling,UndertowCourt,Unit,Common,none,,
213,Krakenkin Hatchling,UndertowCourt,Unit,Common,none,,
214,Human Tidewatcher,UndertowCourt,Unit,Common,auto,text,
215,Naga Deckling,UndertowCourt,Unit,Common,none,,
216,Krakenkin Netling,UndertowCourt,Unit,Common,auto,text,
217,Human Salvage Novice,UndertowCourt,Unit,Common,none,,
218,Naga Waveling,UndertowCourt,Unit,Common,auto,text,
219,Krakenkin Ropehand,UndertowCourt,Unit,Common,none,,
220,Human Coastguard Recruit,UndertowCourt,Unit,Common,none,,
221,Naga Netcaster Recruit,UndertowCourt,Unit,Common,auto,text,
222,Krakenkin Tideling,UndertowCourt,Unit,Common,none,,
223,Human Wreckwatcher,UndertowCourt,Unit,Common,none,,
224,Naga Harbor Recruit,UndertowCourt,Unit,Common,auto,Harbor Recruit,
225,Krakenkin Wreckling,UndertowCourt,Unit,Common,none,,
226,Human Tideguard Novice,UndertowCourt,Unit,Common,manual,,This Unit cannot use abilities the turn it enters play.
227,Naga Coastal Scout,UndertowCourt,Unit,Common,none,,
228,Krakenkin Netcaster Novice,UndertowCourt,Unit,Common,none,,
229,Human Depth Novice,UndertowCourt,Unit,Common,auto,text,
230,Naga Wavewatcher,UndertowCourt,Unit,Common,none,,
231,Krakenkin Tidebound Novice,UndertowCourt,Unit,Common,auto,text,
232,Human Wavecaller Novice,UndertowCourt,Unit,Common,none,,
233,Naga Salvage Novice,UndertowCourt,Unit,Common,none,,
234,Krakenkin Coastling,UndertowCourt,Unit,Common,none,,
235,Low Tide,UndertowCourt,Event,Common,auto,text,
236,First Dive,UndertowCourt,Event,Common,auto,text,
237,Quiet Current,UndertowCourt,Event,Common,auto,text,
238,Undertow's Whisper,UndertowCourt,Event,Common,manual,,Put a +1 Power counter on target Unit you control. Its opposing Unit can't gain Power until the start of your next turn.
239,Salvager's Luck,UndertowCourt,Event,Common,manual,,Return the top card of your Retirement Pile to your hand if it is a Unit.
240,Brace the Hull,UndertowCourt,Event,Common,auto,text,
241,Captain-Marshal Reyes Okonkwo-Vane,DriftConcordat,Unit,Mythic,partial,Scrap Value,"Salvage Rights | When this Unit enters play, Erase up to 2 cards from any Retirement Pile; this Unit gets +2 Power per card Erased, and you may return 1 Erased Unit to your hand."
242,Chief Engineer Halvorsen,DriftConcordat,Unit,Exquisite,partial,Scrap Value,"Salvage Rights | When this Unit enters play, you may shuffle a card from any Retirement Pile into your deck."
243,Full Salvage Operation,DriftConcordat,Event,Exquisite,manual,,Erase up to 3 cards from any Retirement Piles; target Unit you control gets +1 Power for each card Erased this way.
244,The Drift Fleet,DriftConcordat,Location,Exquisite,partial,Scrap Value,"Whenever any Retirement Pile gains a card, you may look at it."
245,The Quartermaster-Sisters,DriftConcordat,Unit,Legendary,partial,Scrap Value; text,Salvage Rights
246,Salvage-Drone Unit 7,DriftConcordat,Unit,Legendary,manual,,"Scrap Value Whenever the opposing Unit is Retired, put two +1 Power counters on this Unit."
247,Wraith-crews,DriftConcordat,Unit,Legendary,manual,,"Salvage Rights | At the start of your turn, choose one of this Unit's abilities; it loses that ability until the start of your next turn (does not apply if it has only one)."
248,Full Reclamation,DriftConcordat,Event,Legendary,manual,,Return up to 2 target Units from any Retirement Piles to your hand.
249,Registry Audit,DriftConcordat,Event,Legendary,manual,,"Look at target opponent's Retirement Pile; Retire 1 card from it, then target Unit you control gets +2 Power."
250,The Scrapyard Registry,DriftConcordat,Location,Legendary,partial,Scrap Value,"At the start of your turn, if any Retirement Pile has 5 or more cards, this Location gets +1 Power."
251,Human Engineer Vantage,DriftConcordat,Unit,Rare,auto,Scrap Value,
252,Android Scavenger Prime,DriftConcordat,Unit,Rare,manual,,Salvage Rights
253,"Refugee Soldier, Twice-Displaced",DriftConcordat,Unit,Rare,auto,text,
254,Salvage-Drone Recon,DriftConcordat,Unit,Rare,auto,Scrap Value,
255,Mutant Scavenger Kess,DriftConcordat,Unit,Rare,manual,,"When this Unit enters play, you may look at the top card of your Retirement Pile and the top card of target opponent's."
256,Cyborg Refugee Denn,DriftConcordat,Unit,Rare,manual,,Salvage Rights
257,Human Archivist Recruit,DriftConcordat,Unit,Rare,manual,,This Unit cannot be played unless a Retirement Pile has 3 or more cards.
258,Android Reclaimer,DriftConcordat,Unit,Rare,auto,Scrap Value,
259,Registry Recall,DriftConcordat,Event,Rare,manual,,Return target Unit from any Retirement Pile to your hand.
260,Scrap Drive,DriftConcordat,Event,Rare,manual,,Erase a card from any Retirement Pile; target Unit you control gets +2 Power.
261,Black-Market Exchange,DriftConcordat,Event,Rare,auto,text,
262,Refugee Intake,DriftConcordat,Event,Rare,manual,,"Draw a card. If you control 3 or more Units, draw an additional card."
263,The Scrap-Yards of Drift Station Nine,DriftConcordat,Location,Rare,auto,Scrap Value,
264,Salvage Docks Perpetual,DriftConcordat,Location,Rare,manual,,Salvage Rights
265,"The Registry Vault, Lower Tier",DriftConcordat,Location,Rare,manual,,"At the start of your turn, if any Retirement Pile has 3 or more cards, draw a card."
266,Drift Concordat War Room,DriftConcordat,Location,Rare,auto,text,
267,Human Engineer Recruit,DriftConcordat,Unit,Uncommon,auto,Scrap Value,
268,Android Scavenger Recruit,DriftConcordat,Unit,Uncommon,auto,text,
269,Refugee Soldier Recruit,DriftConcordat,Unit,Uncommon,manual,,Salvage Rights
270,Salvage-Drone Mark II,DriftConcordat,Unit,Uncommon,auto,Scrap Value,
271,Mutant Scavenger Recruit,DriftConcordat,Unit,Uncommon,manual,,"Whenever a card enters any Retirement Pile, you may look at it."
272,Cyborg Refugee Recruit,DriftConcordat,Unit,Uncommon,manual,,Salvage Rights
273,Human Archivist Novice,DriftConcordat,Unit,Uncommon,manual,,"When this Unit enters play, you may look at the top card of your Retirement Pile."
274,Android Reclaimer Recruit,DriftConcordat,Unit,Uncommon,auto,Scrap Value,
275,Refugee Engineer,DriftConcordat,Unit,Uncommon,manual,,This Unit cannot gain Power from your own abilities that grant more than +1 Power at once.
276,Salvage-Drone Escort,DriftConcordat,Unit,Uncommon,auto,text,
277,Mutant Scavenger Kessling,DriftConcordat,Unit,Uncommon,auto,Scrap Value,
278,Cyborg Refugee Tinker,DriftConcordat,Unit,Uncommon,manual,,"When this Unit enters play, you may return target Unit you control with 2 or less Power to your hand."
279,Human Registrar Clerk,DriftConcordat,Unit,Uncommon,manual,,Salvage Rights
280,Android Recon Unit,DriftConcordat,Unit,Uncommon,auto,text,
281,Refugee Scavenger,DriftConcordat,Unit,Uncommon,auto,Scrap Value,
282,Salvage-Drone Hauler,DriftConcordat,Unit,Uncommon,manual,,This Unit gets +1 Power for every 3 cards in opponents' Retirement Piles.
283,Scrap Exchange,DriftConcordat,Event,Uncommon,manual,,Erase a card from any Retirement Pile; draw a card.
284,Salvage Sweep,DriftConcordat,Event,Uncommon,auto,text,
285,Registry Correction,DriftConcordat,Event,Uncommon,auto,text,
286,Black-Market Tip,DriftConcordat,Event,Uncommon,manual,,Look at the top card of target opponent's Retirement Pile.
287,Intake Processing,DriftConcordat,Event,Uncommon,auto,text,
288,Scavenger's Instinct,DriftConcordat,Event,Uncommon,auto,text,
